회사,근무지,고용형태,모집명,주요업무,자격요건,우대사항,자격요건 키워드,우대사항 키워드,직군,URL
아토머스(마인드카페),강남구 영동대로96길 20 대화빌딩 4층,경력 3년,프로덕트 디자이너 (3년 이상),"['프로덕트를 관통하는 디자인 시스템의 설계 / 구축을 통한 일관 된 사용성 보장', 'Web 및 App의 UX설계 및 내 디자인 시스템을 지속적으로 정비하고 발전시킵니다.', 'Variable 및 Corrponent를 제작 및 등록하며, 디자인 챕터 내에서 공유하고 피드백을 반영합니다.', '비즈니스 전략의 이해와 프로덕트를 통한 목표 달성', '비즈니스에서 의도하는 바가 고객에게 잘 전달될 수 있도록 고민하고 시각화합니다.', '디자인 변동이 필요한 상황에서 fteration에 적극적으로 참여하며 지속해서 개선합니다.', '프로젝트 성과를 분석하고 인사이트를 도출해 팀에 공유하고 피드백을 반영합니다.', '사용자 관점의 문제 정의와 데이터에 근거한 개선', '사용자들이 가진 문제점을 찾고 니즈를 충족시키기 위해 끊임없이 개선합니다.', '여러 직군과의 협업을 통한 문제 해결', '기획부터 출시까지 최적의 디자인이 적용될 수 있도록 PO, Engineer 등과 긴밀하게 협업합니다.', '디자인 QA, 피드백 과정을 통해서 발견된 문제를 해결합니다.']","['3년 이상 디지털 프로덕트 디자인(UX/UI) 분야에서 근무한 경험이 있거나 그에 준하는 경험이 있어야 합니다.', '사용자의 문제를 해결할 수 있는 핵심 기능을 찾고 이를 해결하기 위해 고군분투한 경험이 있어야 합니다.', '시각적으로 완성도 높은 제품을 디자인하고 출시해 본 경험이 있어야 합니다.', 'Figma, Sketch 등의 UI 디자인 툴 상에서 디자인 시스템 제작 및 활용 경험이 있어야 합니다.', '정성적/정량적 데이터를 바탕으로 문제를 명확하게 정의하고 사용성을 개선할 수 있어야 합니다.', '업무 관련 타 포지션 멤버(기획자, 프론트엔드)와도 원활하게 커뮤니케이션 할 수 있어야 합니다.', 'Web/App의 UX,UI 디자인 경험이 있어야 합니다.']","['Adobe Photoshop, Illustration, 3D graphic 실무 경험이 있으신 분', 'HTML/CSS에 대한 기본적인 이해가 있으신 분', '제품 초기 기획부터 구축, 운영, 개선까지 참여한 경험이 있으신 분', '디자인 시스템 제작 및 운영 경험이 있으신 분', '데이터를 기반으로 프로덕트를 구체적으로 개선한 경험이 있으신 분', '헬스케어 분야 유경험자 혹은 글로벌 서비스 경험이 있으신 분']",['Figma'],"['HTML', 'CSS']",디자인,https://www.wanted.co.kr/wd/311679
케이존,13449) 경기도 성남시 수정구 대왕판교로 815 판교제2테크노밸리 기업지원허브 혁신기술존 7층,경력 3-5년,iOS 개발자(3년차 이상),['글로벌 온라인 커머스 반품 관리 솔루션 REMEX Hub Regular App 개발'],"['iOS 개발 경력 3년 이상 혹은 그에 준하는 실력을 갖추신분', 'Swift(or React Native or Flutter)에 능통하신 분', 'REST API 연동 개발 경험이 있으신 분']",['온라인 커머스 / B2B Solution 등 유관 분야 개발 경험이 있거나 전문성을 가지신 분'],"['Swift', 'React Native', 'iOS']",[],모바일,https://www.wanted.co.kr/wd/311687
맘편한세상(맘시터),서울특별시 서초구 서초대로46길 25 창영빌딩 3층,경력 2-5년,백엔드 개발자,"['맘시터 서비스의 회원, 매칭, 돌봄, 결제 등 다양한 도메인 비즈니스와 백오피스 개발을 담당합니다.', '신규 Feature 를 중심으로 Spring Boot / Kotlin을 중심으로 개발하며, 일부 레거시 시스템은 Nodejs / NestJS로 구성되어 있습니다.', 'RESTful API의 설계 및 구현을 통해 효율적인 클라이언트-서버 통신 시스템을 구축합니다.', '다양한 유관 팀과의 협업을 통해 사용자 경험을 최적화하는 백엔드 아키텍쳐를 설계하고 운영합니다.', '프로덕트의 확장성을 고려하여 기존 코드를 지속적으로 리팩토링하고 제품을 개선해나갑니다.', '시스템 모니터링 및 로깅 환경을 구축해 서비스 안정성을 높이고 장애 대응 체계를 마련합니다.']","['Java/Kotlin Spring 기반 서버 개발 경력 만 2년이상 5년 이하의 경력을 보유한 분', '3년 미만 경력인 경우, 본인의 개발 역량을 보여줄 수 있는 포트폴리오 제출을 권장합니다.', 'Kotlin 언어를 처음해도 문제없이 배울 수 있으신 분', 'RESTful API 설계능력을 보유하고 지속적인 개선을 해보신 분', 'RDBMS 또는 NoSQL DB를 활용한 설계/운영 경험을 보유한 분', '상호 피드백에 열려 있고, 원활한 커뮤니케이션이 가능하신 분', '테스트 코드 작성이 필수라고 생각 하시는 분']","['대규모 트래픽을 고려한 시스템 디자인, 개발 경험을 보유한 분', 'AWS 및 쿠버네티스 환경에서 서비스 개발/운영 경험이 있으신 분', '서비스 장애를 경험하고 문제를 해결해보신 경험이 있으신 분', '도메인 주도 설계 및 품질에 관심이 많고 지속적인 개인 발전을 통해서 팀의 코드품질 개선에 의지가 있으신 분', '성능 테스트 및 최적화 경험이 있으신 분', '유연한 설계가 무엇인지 고민하고 점진적으로 시스템을 개선해 나갈 수 있으신 분']","['Spring', 'Kotlin', 'Java']",['Kubernetes'],백엔드,https://www.wanted.co.kr/wd/311691
클로봇,"성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",경력 2-4년,모바일로봇 교통 관제 시스템 설계 및 개발자,"['멀티 로봇 경로 계획(Multi-Agent Path Finding, MAPF) 알고리즘 설계 및 구현', 'MAPF 알고리즘의 성능 개선 및 최적화', '다수 로봇의 경로 충돌 방지 및 효율적인 경로 배정을 위한 관제(Traffic Control) 로직 업그레이드 개발']","['해당 분야 석사(신입) 또는 관련 분야 경력 2년 이상', '성실하고, 다양한 이해관계자와 원활한 협업 & 커뮤니케이션이 가능하신 분', '알고리즘 설계 및 최적화에 대한 이해', '데이터 구조 및 경로 탐색 알고리즘에 대한 이해', 'JAVA 또는 유사한 객체지향 언어에 능숙한 개발 역량', '전문연구요원(병역특례) 지원 가능']","['로봇, AI 관련 업무 유경험자', 'Multi-Agent Path Finding(MAPF) 알고리즘에 대한 연구 또는 실무 개발 경험', '대규모 멀티 로봇 시스템 또는 물류 자동화 시스템에 대한 이해']",['Java'],['Machine learning'],로봇,https://www.wanted.co.kr/wd/311698
클로봇,"성남시 중원구 양현로405번길 4-5, 마커스빌딩 4층/5층",경력 3-7년,백엔드 개발자,"['로봇 원격 모니터링 제어 시스템 백엔드 개발', '로봇 원격 모니터링 제어 시스템 내에 실시간 모니터링 및 제어, 이력 관리 기능 개발', '로봇 원격 모니터링 제어 시스템 내/외부 연계 인터페이스 개발', '로봇 원격 모니터링 제어 시스템 프로젝트 업무 수행']","['백엔드 개발 최소 경력 3년 이상이신 분', '다양한 외부 연계 프로토콜에 대해서 설계/개발이 가능하신 분', '컨테이너를 활용한 상용 서비스 구축 및 운영 경험이 있으신 분', '원활한 커뮤니케이션이 가능하신 분']","['파이썬 백엔드 개발 프로젝트 수행 경험자', 'B2B(대고객) 프로젝트 수행 경험자', '로봇 서비스 관련 프로젝트 수행 및 업무 경험이 있으신 분']",[],[],백엔드,https://www.wanted.co.kr/wd/311699
이팝소프트(말해보카),"서울 강남구 테헤란로 415, 6층 (L7 강남타워 오피스동)",경력 1-3년,QA Manager,"['말해보카 앱뿐만 아니라 서비스 전반의 품질 향상을 위한 QA 활동을 진행해요.', '테스트 시나리오 작성·관리 및 배포 전 회귀/기능 테스트 수행, 버그 리포팅을 진행해요.', '신규 기능 테스트 및 릴리즈 후 모니터링, 핫픽스 대응을 진행해요.', '주기적인 회고를 통해 개선 사항을 도출하고 품질 향상 및 효율적인 QA활동에 기여해요.']","['1년 이상 3년 이하의 QA 경력을 갖춘 분(모바일 경험 우대)', '테스트 케이스/시나리오 작성 및 버그 리포팅을 경험해 본 분', 'JIRA, Zephyr 등 협업/테스트 도구를 사용해 본 분', '유관 부서(개발, 기획, CS 등)와 원활한 협업 커뮤니케이션 능력을 갖춘 분']","['말해보카 앱을 좋아하고 이해도가 높은 분', '스마트폰 등 IT기기에 대한 이해도가 높은 분', '자사 서비스에서 QA 경험이 있는 분', '사용자의 관점으로 서비스를 바라보고, 다양한 문제를 논리적으로 분석 및 개선할 수 있는 분']","['Zephyr RTOS', 'Jira']",[],QA,https://www.wanted.co.kr/wd/311717
한국딥러닝,서초구 강남대로89길 30,경력 3-8년,MLOps 엔지니어 (Vision/LLM/Document AI),"['Vision LLM 기반 모델 및 Document AI 시스템의 서빙 아키텍처 설계·구축', 'CI/CD 및 지속적 학습 파이프라인 설계·자동화, 안정적인 모델 배포·운영', 'GPU 클러스터 및 클라우드 환경(AWS/GCP 등)에서의 인프라 운영 및 최적화', '대규모 트래픽 대응을 위한 모니터링, 로깅, 성능 분석 및 개선', '제품 연동을 위한 API 및 Demo 시스템 운영, 고객사 요구사항 반영']","['MLOps 관련 실무 경험 3년 이상 (모델 연구·개발·배포 등)', '클라우드 환경(AWS, GCP 등)에서 인프라 구축 및 운영 경험', 'Docker, Kubernetes 등 컨테이너 기반 기술 활용 능력', 'Jenkins, GitLab CI 등 CI/CD 도구 사용 경험', 'Python 등 프로그래밍 언어 숙련 및 ML/DL 라이프사이클에 대한 이해', '모델 서빙 및 운영 중 발생하는 성능 이슈 분석·디버깅 경험']","['LLM, VLM 등 대규모 AI 모델 서빙 및 최적화 경험', 'ONNX, TensorRT 기반 모델 최적화 및 추론 최적화 경험', 'GPU 클러스터(Slurm 등) 구축·운영 경험', 'MLflow, Kubeflow 등 MLOps 프레임워크 사용 경험', 'Terraform, Ansible 등 IaC 도구 사용 경험', '대규모 데이터 처리 파이프라인 설계·운영 경험', '오픈소스 기여, 논문 발표, 컨퍼런스 발표 경험']","['Docker', 'Jenkins', 'Kubernetes']","['TensorRT', 'ONNX', 'MLflow', 'Ansible', 'Kubeflow']",AI,https://www.wanted.co.kr/wd/311726
놀유니버스,"경기도 성남시 수정구 금토로 70 (금토동, 텐엑스타워)",경력 2년 이상,"Software Engineer, Frontend - 엔터FE","['NOL 티켓 웹 페이지를 개발하고 다양한 조직과 협업', '다양한 환경에서 안정적인 웹 서비스 설계 및 구현', '프론트엔드 개발 환경 개선 및 동료 개발자와의 활발한 논의']","['프론트엔드 개발 경력 2년 이상 또는 그에 준하는 실력', '기초 컴퓨터 과학 지식 보유', '웹 기술 전반과 모던 브라우저 동작 방식에 대한 깊은 이해', 'React, Next.js를 활용한 서비스 개발 경험', 'Git 기반 협업 경험 및 웹 표준, 접근성에 대한 이해']","['앱 내 WebView 환경에서의 서비스 개발 운영 경험', 'Next.js App 또는 Pages Router 구조에서 CloudFront 캐시 적용 경험', 'SEO, 성능 최적화, Google Analytics 등 이벤트 트래커 연동 및 개선 경험', '모노레포 환경, E2E 테스트 구성, 디자인 시스템 기반 UI 컴포넌트 개발 경험', '레거시 코드의 점진적 개선 경험 및 AI 코딩 툴 활용 경험']","['HTML', 'CSS', 'Javascript', 'NextJS', 'ReactJS', 'Typescript', 'Figma', 'Git']",['Babel'],프론트엔드,https://www.wanted.co.kr/wd/311728
팀스카이(TeamSky),"경기 안양시 동안구 흥안대로427번길 47, 625호",경력 1-3년,프론트엔드 앱 개발자(React Native),"['팀스카이의 웹,앱 서비스에 필요한 프론트엔드 개발 업무를 해요', '앱 빌드 및 배포 업무를 수행합니다. (APK 패키징, TestFlight 활용 등)', '신규 프로젝트인 항공 플랫폼의 자격 시험 iPad 전용 앱을 React Native로 개발해요', '신규 프로젝트에 Apple Pencil 입력을 지원하는 서드파티 라이브러리를 활용해 자격시험용 필기 기능을 구현해요', '기존에 운영하고 있는 항공직군을 위한 취업준비 커뮤니티 서비스의 유지보수 및 기능 고도화 작업을 함께 수행해요']","['React Native 개발 및 배포 경험이 있는 분을 찾아요', '최소한 하나의 앱 서비스 개발 출시 및 운영 경험이 있는 분을 찾아요', 'HTML/CSS/Javascript 를 능숙하게 사용할 수 있는 분을 찾아요', 'TypeScript 에 익숙하신 분을 찾아요']","['추석 연휴 끝나고 바로 출근이 가능하신분 좋아요', 'PRD를 기반으로 한 바이브 코딩에 익숙하신 분이 좋아요(cursor, windsurf,mcp 등)', '포트폴리오에 평소 AI를 어떻게 활용하는지 프로세스를 적어주시면 더 좋아요', '개인 Github 또는 개인 프로젝트 등으로 본인의 역량을 구체적으로 제시할 수 있는 분이 좋아요', '문제를 주도적으로 해결하고, 성장을 위해 지속적인 학습 능력 갖추신 분이 좋아요', '더 좋은 고객 경험을 위해 의견을 적극적으로 내시는 분이 좋아요', '웹 성능 최적화 및 브라우저의 동작 원리에 관심이 많은 분이 좋아요', '크로스 플랫폼에 관심이 많은 분이 좋아요']","['HTML', 'CSS', 'Javascript', 'React Native', 'Typescript']",['Github'],프론트엔드,https://www.wanted.co.kr/wd/311735
빔웍스,"대구 북구 칠곡중앙대로136길 107, 지하 1층(학정동)",신입 이상,인공지능 개발 (Vision/영상처리),"['의료 영상 진단/예측/분석 인공지능 기술 연구 및 개발', '인공지능 모델 패키징 및 배포 기술 연구']","['신입 / 경력(연수무관)', '전산학, 전자, 산업 공학 등 관련 학사 학위 이상 소지한 분', 'Python, Tensorflow, Keras, Scikit-learn 등을 활용한 딥러닝 머신러닝 개발 역량', 'GIT/JIRA/Confluence 협업 체계에 대한 이해를 가진 분']","['컴퓨터비전, 영상처리, 머신러닝, 의료영상 관련 연구 및 개발 경험', '인공지능/영상처리/컴퓨터 분야 학회 논문 출판']","['Scikit-learn', 'Confluence', 'Tensorflow', 'Git', 'Jira', 'Keras']",[],AI,https://www.wanted.co.kr/wd/311736
